measurement,created_at,app,rails,ruby,platform
0,2010-09-07T14:32:32Z,master.2fb7289,2.3.8,ruby-1.8.7.249,x86_64-linux
0,2010-09-07T14:34:09Z,master.2fb7289,2.3.8,ruby-1.8.7.249,x86_64-linux
0,2010-09-07T14:56:50Z,master.2fb7289,2.3.8,ruby-1.8.7.249,x86_64-linux
0,2010-09-07T14:59:00Z,master.2fb7289,2.3.8,ruby-1.8.7.249,x86_64-linux
